Number,Element Name,Full name,Classification,Color,Atomic weight,State(room temperature),Melting point(K),Boiling point(K),Density(g/cm^3),Atomic radius(pm),Crystal structure,
1,H,Hydrogen,nonmetal,colorless,1.0079,gas,13.99,20.271,0.00008988,25,hexagonal,
2,He,Helium,noble gas,colorless,4.0026,gas,0.95(note),4.2,0.0001786,31,hexagonal close-packed,
3,Li,Lithium,alkali metal,silvery,6.94,solid,453.65,1615,0.534,152,body-centered cubic,
4,Be,Beryllium,alkaline earth metal,white-gray,9.0121831,solid,1560,2741,1.85,112,hexagonal close-packed,
5,B,Boron,metalloid,black,10.81,solid,2349,4200,2.08,90,rhombohedral,
6,C,Carbon,nonmetal,blakc/clear,12.011,solid,3915(note),4600,2.267~3.515,70,diamond/hexagonal,(two different phases)
7,N,Nitrogen,nonmetal,colorless,14.0067,gas,63.15,77.355,0.001251,65,hexagonal,
8,O,Oxygen,nonmetal,colorless,15.9994,gas,54.36,90.188,0.001429,60,cubic,
9,F,Fluorine,nonmetal,pale yellow,18.998403,gas,53.48,85.03,0.001696,50,monoclinic,
10,Ne,Neon,noble gas,colorless,20.1797,gas,24.56,27.104,0.0009002,38,face-centered cubic,
11,Na,Sodium,alkali metal,silvery-white,22.98977,solid,370.944,1156.09,0.968,186,body-centered cubic,
12,Mg,Magnesium,alkaline earth metal,silvery-white,24.305,solid,923,1363,1.738,160,hexagonal close-packed,
13,Al,Aluminum,poor metal,silvery,26.98154,solid,933.47,2792,2.7,143,face-centered cubic,
14,Si,Silicon,metalloid,silvery,28.0855,solid,1687,3538,2.329,111,diamond,
15,P,Phosphorus,nonmetal,pale yellow,30.97376,solid,317.3,553.7,1.82,100,triclinic,
16,S,Sulfur,nonmetal,yellow,32.06,solid,388.4,717.9,2.07,100,orthorhombic,
17,Cl,Chlorine,nonmetal,greenish-yellow,35.453,gas,172,239,0.003214,100,orthorhombic,
18,Ar,Argon,noble gas,colorless,39.948,gas,83.85,87.3,0.001784,71,face-centered cubic,
19,K,Potassium,alkali metal,silvery-white,39.0983,solid,336.5,1038.7,0.862,220,body-centered cubic,
20,Ca,Calcium,alkaline earth metal,silvery-gray,40.078,solid,1115,1757,1.55,180,face-centered cubic,
21,Sc,Scandium,transition metal/rare earth,silvery-white,44.9559,solid,1813.2,3103,3,162,hexagonal close-packed,
22,Ti,Titanium,transition metal,silvery-white,47.87,solid,1941,3560,4.5,147,hexagonal close-packed,
23,V,Vanadium,transition metal,silvery,50.9415,solid,2193,3673,6.1,134,body-centered cubic,
24,Cr,Chromium,transition metal,silvery,51.9961,solid,2180,2944,7.19,128,body-centered cubic,
25,Mn,Manganese,transition metal,silvery,54.938044,solid,1519,2334,7.21,127,body-centered cubic,
26,Fe,Iron,transition metal,silvery-gray,55.845,solid,1811,3134,7.874,126,body-centered cubic,
27,Co,Cobalt,transition metal,bluish-white,58.9332,solid,1768,3200,8.9,125,hexagonal close-packed,
28,Ni,Nickel,transition metal,silvery-white,58.693,solid,1728,3263,8.91,124,face-centered cubic,
29,Cu,Copper,transition metal,orange-red,63.546,solid,1357.77,2835,8.96,128,face-centered cubic,
30,Zn,Zinc,transition metal,silvery-gray,65.38,solid,692.68,1180,7.14,134,hexagonal close-packed,
31,Ga,Gallium,poor metal,silvery-white,69.723,solid,302.9146,2477,5.91,135,orthorhombic,
32,Ge,Germanium,metalloid,grayish-white,72.63,solid,1211.4,3106,5.323,122,diamond,
33,As,Arsenic,metalloid,gray,74.9216,solid,N/A,887,5.727,119,simple trigonal,
34,Se,Selenium,nonmetal,black/red,78.971,solid,494,1766,4.81,120,hexagonal,
35,Br,Bromine,nonmetal,red-brown,79.904,liquid,277,332,3.122,120,orthorhombic,
36,Kr,Krypton,noble gas,colorless,83.798,gas,115.78,119.93,0.003708,88,face-centered cubic,
37,Rb,Rubidium,alkali metal,grey white,85.4678,solid,312.45,961,1.532,248,body-centered cubic,
38,Sr,Strontium,alkaline earth metal,silvery-white,87.62,solid,1050,1650,2.64,215,face-centered cubic,
39,Y,Yttrium,transition metal/rare earth,silvery-white,88.90584,solid,1799,3609,4.472,180,hexagonal close-packed,
40,Zr,Zirconium,transition metal,silvery-white,91.224,solid,2128,4682,6.52,160,hexagonal close-packed,
41,Nb,Niobium,transition metal,gray,92.90637,solid,2750,5017,8.57,146,body-centered cubic,
42,Mo,Molybdenum,transition metal,gray,95.95,solid,2896,4912,10.28,139,body-centered cubic,
43,Tc,Technetium,transition metal,silvery-gray,98,solid,2430,4538,11,136,hexagonal close-packed,
44,Ru,Ruthenium,transition metal,silvery-white,101.07,solid,2607,4423,12.45,134,hexagonal close-packed,
45,Rh,Rhodium,transition metal,silvery-white,102.9055,solid,2237,3968,12.41,134,face-centered cubic,
46,Pd,Palladium,transition metal,silvery-white,106.42,solid,1828.05,3236,12.023,137,face-centered cubic,
47,Ag,Silver,transition metal,silver,107.868,solid,1234.93,2435,10.49,144,face-centered cubic,
48,Cd,Cadmium,transition metal,bluish-white,112.41,solid,594.22,1040,8.65,151,hexagonal close-packed,
49,In,Indium,transition metal,silvery-white,114.818,solid,429.7485,2345,7.31,167,tetragonal,
50,Sn,Tin,poor metal,silver,118.71,solid,505.08,2875,7.365,140,tetragonal,
51,Sb,Antimony,metalloid,silvery-gray,121.76,solid,903.78,1860,6.697,140,simple trigonal,
52,Te,Tellurium,metalloid,silvery-gray,127.6,solid,722.66,1261,6.24,140,hexagonal,
53,I,Iodine,nonmetal,gray,126.90447,solid,386.85,457.4,4.933,140,orthorhombic,
54,Xe,Xenon,noble gas,colorless,131.293,gas,161.4,165,0.00588,108,face-centered cubic,
55,Cs,Caesium,alkali metal,silvery gold,132.905452,solid,301.7,944,1.93,265,body-centered cubic,
56,Ba,Barium,alkaline earth metal,silvery-gray,137.327,solid,1000,2118,3.51,222,body-centered cubic,
57,La,Lanthanum,lanthanide/rare earth metal,silvery-white,138.90547,solid,1193,3737,6.162,187,hexagonal,
58,Ce,Cerium,lanthanide/rare earth metal,silvery-white,140.116,solid,1068,3716,6.77,181.8,face-centered cubic,
59,Pr,Praseodymium,lanthanide/rare earth metal,silvery-white,140.90766,solid,1208,3793,6.77,182,hexagonal,
60,Nd,Neodymium,lanthanide/rare earth metal,silvery-white,144.242,solid,1297,3347,7.01,181,hexagonal,
61,Pm,Promethium,lanthanide/rare earth metal,silvery-white,145,solid,1315,3273,7.26,183,hexagonal,
